"tripmode","tourmode","purpose","value","grp_var"
"1","Auto SOV","work",3476583,"worktourmode1"
"2","Auto SOV","work",0,"worktourmode1"
"3","Auto SOV","work",0,"worktourmode1"
"4","Auto SOV","work",0,"worktourmode1"
"5","Auto SOV","work",0,"worktourmode1"
"6","Auto SOV","work",0,"worktourmode1"
"7","Auto SOV","work",0,"worktourmode1"
"8","Auto SOV","work",0,"worktourmode1"
"9","Auto SOV","work",0,"worktourmode1"
"1","Auto 2 Person","work",297882,"worktourmode2"
"2","Auto 2 Person","work",661164,"worktourmode2"
"3","Auto 2 Person","work",0,"worktourmode2"
"4","Auto 2 Person","work",13423,"worktourmode2"
"5","Auto 2 Person","work",0,"worktourmode2"
"6","Auto 2 Person","work",0,"worktourmode2"
"7","Auto 2 Person","work",0,"worktourmode2"
"8","Auto 2 Person","work",0,"worktourmode2"
"9","Auto 2 Person","work",0,"worktourmode2"
"1","Auto 3+ Person","work",108819,"worktourmode3"
"2","Auto 3+ Person","work",28007,"worktourmode3"
"3","Auto 3+ Person","work",283368,"worktourmode3"
"4","Auto 3+ Person","work",3789,"worktourmode3"
"5","Auto 3+ Person","work",0,"worktourmode3"
"6","Auto 3+ Person","work",0,"worktourmode3"
"7","Auto 3+ Person","work",0,"worktourmode3"
"8","Auto 3+ Person","work",0,"worktourmode3"
"9","Auto 3+ Person","work",0,"worktourmode3"
"1","Walk","work",0,"worktourmode4"
"2","Walk","work",0,"worktourmode4"
"3","Walk","work",0,"worktourmode4"
"4","Walk","work",472016,"worktourmode4"
"5","Walk","work",0,"worktourmode4"
"6","Walk","work",0,"worktourmode4"
"7","Walk","work",0,"worktourmode4"
"8","Walk","work",0,"worktourmode4"
"9","Walk","work",0,"worktourmode4"
"1","Bike/Moped","work",0,"worktourmode5"
"2","Bike/Moped","work",0,"worktourmode5"
"3","Bike/Moped","work",0,"worktourmode5"
"4","Bike/Moped","work",0,"worktourmode5"
"5","Bike/Moped","work",803978,"worktourmode5"
"6","Bike/Moped","work",0,"worktourmode5"
"7","Bike/Moped","work",0,"worktourmode5"
"8","Bike/Moped","work",0,"worktourmode5"
"9","Bike/Moped","work",0,"worktourmode5"
"1","Walk-Transit","work",0,"worktourmode6"
"2","Walk-Transit","work",21855,"worktourmode6"
"3","Walk-Transit","work",662,"worktourmode6"
"4","Walk-Transit","work",78584,"worktourmode6"
"5","Walk-Transit","work",0,"worktourmode6"
"6","Walk-Transit","work",531723,"worktourmode6"
"7","Walk-Transit","work",0,"worktourmode6"
"8","Walk-Transit","work",0,"worktourmode6"
"9","Walk-Transit","work",0,"worktourmode6"
"1","PNR-Transit","work",6626,"worktourmode7"
"2","PNR-Transit","work",3162,"worktourmode7"
"3","PNR-Transit","work",9754,"worktourmode7"
"4","PNR-Transit","work",12966,"worktourmode7"
"5","PNR-Transit","work",0,"worktourmode7"
"6","PNR-Transit","work",2488,"worktourmode7"
"7","PNR-Transit","work",62918,"worktourmode7"
"8","PNR-Transit","work",0,"worktourmode7"
"9","PNR-Transit","work",0,"worktourmode7"
"1","KNR-Transit","work",0,"worktourmode8"
"2","KNR-Transit","work",6314,"worktourmode8"
"3","KNR-Transit","work",5073,"worktourmode8"
"4","KNR-Transit","work",7989,"worktourmode8"
"5","KNR-Transit","work",0,"worktourmode8"
"6","KNR-Transit","work",1326,"worktourmode8"
"7","KNR-Transit","work",0,"worktourmode8"
"8","KNR-Transit","work",24362,"worktourmode8"
"9","KNR-Transit","work",0,"worktourmode8"
"1","School Bus","work",0,"worktourmode9"
"2","School Bus","work",0,"worktourmode9"
"3","School Bus","work",0,"worktourmode9"
"4","School Bus","work",0,"worktourmode9"
"5","School Bus","work",0,"worktourmode9"
"6","School Bus","work",0,"worktourmode9"
"7","School Bus","work",0,"worktourmode9"
"8","School Bus","work",0,"worktourmode9"
"9","School Bus","work",0,"worktourmode9"
"1","Total","work",3889910,"workTotal"
"2","Total","work",720502,"workTotal"
"3","Total","work",298857,"workTotal"
"4","Total","work",588767,"workTotal"
"5","Total","work",803978,"workTotal"
"6","Total","work",535537,"workTotal"
"7","Total","work",62918,"workTotal"
"8","Total","work",24362,"workTotal"
"9","Total","work",0,"workTotal"
"1","Auto SOV","univ",115429,"univtourmode1"
"2","Auto SOV","univ",0,"univtourmode1"
"3","Auto SOV","univ",0,"univtourmode1"
"4","Auto SOV","univ",0,"univtourmode1"
"5","Auto SOV","univ",0,"univtourmode1"
"6","Auto SOV","univ",0,"univtourmode1"
"7","Auto SOV","univ",0,"univtourmode1"
"8","Auto SOV","univ",0,"univtourmode1"
"9","Auto SOV","univ",0,"univtourmode1"
"1","Auto 2 Person","univ",10487,"univtourmode2"
"2","Auto 2 Person","univ",70579,"univtourmode2"
"3","Auto 2 Person","univ",0,"univtourmode2"
"4","Auto 2 Person","univ",1568,"univtourmode2"
"5","Auto 2 Person","univ",0,"univtourmode2"
"6","Auto 2 Person","univ",0,"univtourmode2"
"7","Auto 2 Person","univ",0,"univtourmode2"
"8","Auto 2 Person","univ",0,"univtourmode2"
"9","Auto 2 Person","univ",0,"univtourmode2"
"1","Auto 3+ Person","univ",1563,"univtourmode3"
"2","Auto 3+ Person","univ",739,"univtourmode3"
"3","Auto 3+ Person","univ",15420,"univtourmode3"
"4","Auto 3+ Person","univ",344,"univtourmode3"
"5","Auto 3+ Person","univ",0,"univtourmode3"
"6","Auto 3+ Person","univ",0,"univtourmode3"
"7","Auto 3+ Person","univ",0,"univtourmode3"
"8","Auto 3+ Person","univ",0,"univtourmode3"
"9","Auto 3+ Person","univ",0,"univtourmode3"
"1","Walk","univ",0,"univtourmode4"
"2","Walk","univ",0,"univtourmode4"
"3","Walk","univ",0,"univtourmode4"
"4","Walk","univ",102920,"univtourmode4"
"5","Walk","univ",0,"univtourmode4"
"6","Walk","univ",0,"univtourmode4"
"7","Walk","univ",0,"univtourmode4"
"8","Walk","univ",0,"univtourmode4"
"9","Walk","univ",0,"univtourmode4"
"1","Bike/Moped","univ",0,"univtourmode5"
"2","Bike/Moped","univ",0,"univtourmode5"
"3","Bike/Moped","univ",0,"univtourmode5"
"4","Bike/Moped","univ",0,"univtourmode5"
"5","Bike/Moped","univ",171951,"univtourmode5"
"6","Bike/Moped","univ",0,"univtourmode5"
"7","Bike/Moped","univ",0,"univtourmode5"
"8","Bike/Moped","univ",0,"univtourmode5"
"9","Bike/Moped","univ",0,"univtourmode5"
"1","Walk-Transit","univ",0,"univtourmode6"
"2","Walk-Transit","univ",628,"univtourmode6"
"3","Walk-Transit","univ",75,"univtourmode6"
"4","Walk-Transit","univ",2854,"univtourmode6"
"5","Walk-Transit","univ",0,"univtourmode6"
"6","Walk-Transit","univ",59605,"univtourmode6"
"7","Walk-Transit","univ",0,"univtourmode6"
"8","Walk-Transit","univ",0,"univtourmode6"
"9","Walk-Transit","univ",0,"univtourmode6"
"1","PNR-Transit","univ",774,"univtourmode7"
"2","PNR-Transit","univ",598,"univtourmode7"
"3","PNR-Transit","univ",526,"univtourmode7"
"4","PNR-Transit","univ",0,"univtourmode7"
"5","PNR-Transit","univ",0,"univtourmode7"
"6","PNR-Transit","univ",0,"univtourmode7"
"7","PNR-Transit","univ",6626,"univtourmode7"
"8","PNR-Transit","univ",0,"univtourmode7"
"9","PNR-Transit","univ",0,"univtourmode7"
"1","KNR-Transit","univ",0,"univtourmode8"
"2","KNR-Transit","univ",514,"univtourmode8"
"3","KNR-Transit","univ",594,"univtourmode8"
"4","KNR-Transit","univ",25,"univtourmode8"
"5","KNR-Transit","univ",0,"univtourmode8"
"6","KNR-Transit","univ",235,"univtourmode8"
"7","KNR-Transit","univ",0,"univtourmode8"
"8","KNR-Transit","univ",2511,"univtourmode8"
"9","KNR-Transit","univ",0,"univtourmode8"
"1","School Bus","univ",0,"univtourmode9"
"2","School Bus","univ",0,"univtourmode9"
"3","School Bus","univ",0,"univtourmode9"
"4","School Bus","univ",0,"univtourmode9"
"5","School Bus","univ",0,"univtourmode9"
"6","School Bus","univ",0,"univtourmode9"
"7","School Bus","univ",0,"univtourmode9"
"8","School Bus","univ",0,"univtourmode9"
"9","School Bus","univ",0,"univtourmode9"
"1","Total","univ",128253,"univTotal"
"2","Total","univ",73058,"univTotal"
"3","Total","univ",16615,"univTotal"
"4","Total","univ",107711,"univTotal"
"5","Total","univ",171951,"univTotal"
"6","Total","univ",59840,"univTotal"
"7","Total","univ",6626,"univTotal"
"8","Total","univ",2511,"univTotal"
"9","Total","univ",0,"univTotal"
"1","Auto SOV","schl",49813,"schltourmode1"
"2","Auto SOV","schl",0,"schltourmode1"
"3","Auto SOV","schl",0,"schltourmode1"
"4","Auto SOV","schl",0,"schltourmode1"
"5","Auto SOV","schl",0,"schltourmode1"
"6","Auto SOV","schl",0,"schltourmode1"
"7","Auto SOV","schl",0,"schltourmode1"
"8","Auto SOV","schl",0,"schltourmode1"
"9","Auto SOV","schl",0,"schltourmode1"
"1","Auto 2 Person","schl",0,"schltourmode2"
"2","Auto 2 Person","schl",536008,"schltourmode2"
"3","Auto 2 Person","schl",0,"schltourmode2"
"4","Auto 2 Person","schl",28891,"schltourmode2"
"5","Auto 2 Person","schl",0,"schltourmode2"
"6","Auto 2 Person","schl",0,"schltourmode2"
"7","Auto 2 Person","schl",0,"schltourmode2"
"8","Auto 2 Person","schl",0,"schltourmode2"
"9","Auto 2 Person","schl",0,"schltourmode2"
"1","Auto 3+ Person","schl",0,"schltourmode3"
"2","Auto 3+ Person","schl",284119,"schltourmode3"
"3","Auto 3+ Person","schl",1294820,"schltourmode3"
"4","Auto 3+ Person","schl",80399,"schltourmode3"
"5","Auto 3+ Person","schl",0,"schltourmode3"
"6","Auto 3+ Person","schl",0,"schltourmode3"
"7","Auto 3+ Person","schl",0,"schltourmode3"
"8","Auto 3+ Person","schl",0,"schltourmode3"
"9","Auto 3+ Person","schl",0,"schltourmode3"
"1","Walk","schl",0,"schltourmode4"
"2","Walk","schl",0,"schltourmode4"
"3","Walk","schl",0,"schltourmode4"
"4","Walk","schl",546098,"schltourmode4"
"5","Walk","schl",0,"schltourmode4"
"6","Walk","schl",0,"schltourmode4"
"7","Walk","schl",0,"schltourmode4"
"8","Walk","schl",0,"schltourmode4"
"9","Walk","schl",0,"schltourmode4"
"1","Bike/Moped","schl",0,"schltourmode5"
"2","Bike/Moped","schl",0,"schltourmode5"
"3","Bike/Moped","schl",0,"schltourmode5"
"4","Bike/Moped","schl",0,"schltourmode5"
"5","Bike/Moped","schl",129184,"schltourmode5"
"6","Bike/Moped","schl",0,"schltourmode5"
"7","Bike/Moped","schl",0,"schltourmode5"
"8","Bike/Moped","schl",0,"schltourmode5"
"9","Bike/Moped","schl",0,"schltourmode5"
"1","Walk-Transit","schl",0,"schltourmode6"
"2","Walk-Transit","schl",14402,"schltourmode6"
"3","Walk-Transit","schl",1890,"schltourmode6"
"4","Walk-Transit","schl",3523,"schltourmode6"
"5","Walk-Transit","schl",0,"schltourmode6"
"6","Walk-Transit","schl",75827,"schltourmode6"
"7","Walk-Transit","schl",0,"schltourmode6"
"8","Walk-Transit","schl",0,"schltourmode6"
"9","Walk-Transit","schl",0,"schltourmode6"
"1","PNR-Transit","schl",510,"schltourmode7"
"2","PNR-Transit","schl",560,"schltourmode7"
"3","PNR-Transit","schl",568,"schltourmode7"
"4","PNR-Transit","schl",4,"schltourmode7"
"5","PNR-Transit","schl",0,"schltourmode7"
"6","PNR-Transit","schl",0,"schltourmode7"
"7","PNR-Transit","schl",5344,"schltourmode7"
"8","PNR-Transit","schl",0,"schltourmode7"
"9","PNR-Transit","schl",0,"schltourmode7"
"1","KNR-Transit","schl",0,"schltourmode8"
"2","KNR-Transit","schl",534,"schltourmode8"
"3","KNR-Transit","schl",502,"schltourmode8"
"4","KNR-Transit","schl",4,"schltourmode8"
"5","KNR-Transit","schl",0,"schltourmode8"
"6","KNR-Transit","schl",40,"schltourmode8"
"7","KNR-Transit","schl",0,"schltourmode8"
"8","KNR-Transit","schl",3027,"schltourmode8"
"9","KNR-Transit","schl",0,"schltourmode8"
"1","School Bus","schl",0,"schltourmode9"
"2","School Bus","schl",0,"schltourmode9"
"3","School Bus","schl",0,"schltourmode9"
"4","School Bus","schl",0,"schltourmode9"
"5","School Bus","schl",0,"schltourmode9"
"6","School Bus","schl",0,"schltourmode9"
"7","School Bus","schl",0,"schltourmode9"
"8","School Bus","schl",0,"schltourmode9"
"9","School Bus","schl",164088,"schltourmode9"
"1","Total","schl",50323,"schlTotal"
"2","Total","schl",835623,"schlTotal"
"3","Total","schl",1297780,"schlTotal"
"4","Total","schl",658919,"schlTotal"
"5","Total","schl",129184,"schlTotal"
"6","Total","schl",75867,"schlTotal"
"7","Total","schl",5344,"schlTotal"
"8","Total","schl",3027,"schlTotal"
"9","Total","schl",164088,"schlTotal"
"1","Auto SOV","imain",791561,"imaintourmode1"
"2","Auto SOV","imain",0,"imaintourmode1"
"3","Auto SOV","imain",0,"imaintourmode1"
"4","Auto SOV","imain",0,"imaintourmode1"
"5","Auto SOV","imain",0,"imaintourmode1"
"6","Auto SOV","imain",0,"imaintourmode1"
"7","Auto SOV","imain",0,"imaintourmode1"
"8","Auto SOV","imain",0,"imaintourmode1"
"9","Auto SOV","imain",0,"imaintourmode1"
"1","Auto 2 Person","imain",188075,"imaintourmode2"
"2","Auto 2 Person","imain",532699,"imaintourmode2"
"3","Auto 2 Person","imain",0,"imaintourmode2"
"4","Auto 2 Person","imain",20911,"imaintourmode2"
"5","Auto 2 Person","imain",0,"imaintourmode2"
"6","Auto 2 Person","imain",0,"imaintourmode2"
"7","Auto 2 Person","imain",0,"imaintourmode2"
"8","Auto 2 Person","imain",0,"imaintourmode2"
"9","Auto 2 Person","imain",0,"imaintourmode2"
"1","Auto 3+ Person","imain",44986,"imaintourmode3"
"2","Auto 3+ Person","imain",89399,"imaintourmode3"
"3","Auto 3+ Person","imain",308353,"imaintourmode3"
"4","Auto 3+ Person","imain",12076,"imaintourmode3"
"5","Auto 3+ Person","imain",0,"imaintourmode3"
"6","Auto 3+ Person","imain",0,"imaintourmode3"
"7","Auto 3+ Person","imain",0,"imaintourmode3"
"8","Auto 3+ Person","imain",0,"imaintourmode3"
"9","Auto 3+ Person","imain",0,"imaintourmode3"
"1","Walk","imain",0,"imaintourmode4"
"2","Walk","imain",0,"imaintourmode4"
"3","Walk","imain",0,"imaintourmode4"
"4","Walk","imain",788960,"imaintourmode4"
"5","Walk","imain",0,"imaintourmode4"
"6","Walk","imain",0,"imaintourmode4"
"7","Walk","imain",0,"imaintourmode4"
"8","Walk","imain",0,"imaintourmode4"
"9","Walk","imain",0,"imaintourmode4"
"1","Bike/Moped","imain",0,"imaintourmode5"
"2","Bike/Moped","imain",0,"imaintourmode5"
"3","Bike/Moped","imain",0,"imaintourmode5"
"4","Bike/Moped","imain",0,"imaintourmode5"
"5","Bike/Moped","imain",67491,"imaintourmode5"
"6","Bike/Moped","imain",0,"imaintourmode5"
"7","Bike/Moped","imain",0,"imaintourmode5"
"8","Bike/Moped","imain",0,"imaintourmode5"
"9","Bike/Moped","imain",0,"imaintourmode5"
"1","Walk-Transit","imain",0,"imaintourmode6"
"2","Walk-Transit","imain",406,"imaintourmode6"
"3","Walk-Transit","imain",453,"imaintourmode6"
"4","Walk-Transit","imain",54779,"imaintourmode6"
"5","Walk-Transit","imain",0,"imaintourmode6"
"6","Walk-Transit","imain",136882,"imaintourmode6"
"7","Walk-Transit","imain",0,"imaintourmode6"
"8","Walk-Transit","imain",0,"imaintourmode6"
"9","Walk-Transit","imain",0,"imaintourmode6"
"1","PNR-Transit","imain",547,"imaintourmode7"
"2","PNR-Transit","imain",304,"imaintourmode7"
"3","PNR-Transit","imain",1014,"imaintourmode7"
"4","PNR-Transit","imain",538,"imaintourmode7"
"5","PNR-Transit","imain",0,"imaintourmode7"
"6","PNR-Transit","imain",0,"imaintourmode7"
"7","PNR-Transit","imain",7063,"imaintourmode7"
"8","PNR-Transit","imain",0,"imaintourmode7"
"9","PNR-Transit","imain",0,"imaintourmode7"
"1","KNR-Transit","imain",0,"imaintourmode8"
"2","KNR-Transit","imain",218,"imaintourmode8"
"3","KNR-Transit","imain",348,"imaintourmode8"
"4","KNR-Transit","imain",294,"imaintourmode8"
"5","KNR-Transit","imain",0,"imaintourmode8"
"6","KNR-Transit","imain",273,"imaintourmode8"
"7","KNR-Transit","imain",0,"imaintourmode8"
"8","KNR-Transit","imain",2732,"imaintourmode8"
"9","KNR-Transit","imain",0,"imaintourmode8"
"1","School Bus","imain",0,"imaintourmode9"
"2","School Bus","imain",0,"imaintourmode9"
"3","School Bus","imain",0,"imaintourmode9"
"4","School Bus","imain",0,"imaintourmode9"
"5","School Bus","imain",0,"imaintourmode9"
"6","School Bus","imain",0,"imaintourmode9"
"7","School Bus","imain",0,"imaintourmode9"
"8","School Bus","imain",0,"imaintourmode9"
"9","School Bus","imain",0,"imaintourmode9"
"1","Total","imain",1025169,"imainTotal"
"2","Total","imain",623026,"imainTotal"
"3","Total","imain",310168,"imainTotal"
"4","Total","imain",877558,"imainTotal"
"5","Total","imain",67491,"imainTotal"
"6","Total","imain",137155,"imainTotal"
"7","Total","imain",7063,"imainTotal"
"8","Total","imain",2732,"imainTotal"
"9","Total","imain",0,"imainTotal"
"1","Auto SOV","idisc",731145,"idisctourmode1"
"2","Auto SOV","idisc",0,"idisctourmode1"
"3","Auto SOV","idisc",0,"idisctourmode1"
"4","Auto SOV","idisc",0,"idisctourmode1"
"5","Auto SOV","idisc",0,"idisctourmode1"
"6","Auto SOV","idisc",0,"idisctourmode1"
"7","Auto SOV","idisc",0,"idisctourmode1"
"8","Auto SOV","idisc",0,"idisctourmode1"
"9","Auto SOV","idisc",0,"idisctourmode1"
"1","Auto 2 Person","idisc",28360,"idisctourmode2"
"2","Auto 2 Person","idisc",355209,"idisctourmode2"
"3","Auto 2 Person","idisc",0,"idisctourmode2"
"4","Auto 2 Person","idisc",12005,"idisctourmode2"
"5","Auto 2 Person","idisc",0,"idisctourmode2"
"6","Auto 2 Person","idisc",0,"idisctourmode2"
"7","Auto 2 Person","idisc",0,"idisctourmode2"
"8","Auto 2 Person","idisc",0,"idisctourmode2"
"9","Auto 2 Person","idisc",0,"idisctourmode2"
"1","Auto 3+ Person","idisc",3050,"idisctourmode3"
"2","Auto 3+ Person","idisc",23397,"idisctourmode3"
"3","Auto 3+ Person","idisc",256357,"idisctourmode3"
"4","Auto 3+ Person","idisc",5757,"idisctourmode3"
"5","Auto 3+ Person","idisc",0,"idisctourmode3"
"6","Auto 3+ Person","idisc",0,"idisctourmode3"
"7","Auto 3+ Person","idisc",0,"idisctourmode3"
"8","Auto 3+ Person","idisc",0,"idisctourmode3"
"9","Auto 3+ Person","idisc",0,"idisctourmode3"
"1","Walk","idisc",0,"idisctourmode4"
"2","Walk","idisc",0,"idisctourmode4"
"3","Walk","idisc",0,"idisctourmode4"
"4","Walk","idisc",812077,"idisctourmode4"
"5","Walk","idisc",0,"idisctourmode4"
"6","Walk","idisc",0,"idisctourmode4"
"7","Walk","idisc",0,"idisctourmode4"
"8","Walk","idisc",0,"idisctourmode4"
"9","Walk","idisc",0,"idisctourmode4"
"1","Bike/Moped","idisc",0,"idisctourmode5"
"2","Bike/Moped","idisc",0,"idisctourmode5"
"3","Bike/Moped","idisc",0,"idisctourmode5"
"4","Bike/Moped","idisc",0,"idisctourmode5"
"5","Bike/Moped","idisc",143432,"idisctourmode5"
"6","Bike/Moped","idisc",0,"idisctourmode5"
"7","Bike/Moped","idisc",0,"idisctourmode5"
"8","Bike/Moped","idisc",0,"idisctourmode5"
"9","Bike/Moped","idisc",0,"idisctourmode5"
"1","Walk-Transit","idisc",0,"idisctourmode6"
"2","Walk-Transit","idisc",226,"idisctourmode6"
"3","Walk-Transit","idisc",0,"idisctourmode6"
"4","Walk-Transit","idisc",14500,"idisctourmode6"
"5","Walk-Transit","idisc",0,"idisctourmode6"
