"tripmode","tourmode","purpose","value","grp_var"
"6","Walk-Transit","idisc",98581,"idisctourmode6"
"7","Walk-Transit","idisc",0,"idisctourmode6"
"8","Walk-Transit","idisc",0,"idisctourmode6"
"9","Walk-Transit","idisc",0,"idisctourmode6"
"1","PNR-Transit","idisc",328,"idisctourmode7"
"2","PNR-Transit","idisc",576,"idisctourmode7"
"3","PNR-Transit","idisc",437,"idisctourmode7"
"4","PNR-Transit","idisc",297,"idisctourmode7"
"5","PNR-Transit","idisc",0,"idisctourmode7"
"6","PNR-Transit","idisc",0,"idisctourmode7"
"7","PNR-Transit","idisc",4798,"idisctourmode7"
"8","PNR-Transit","idisc",0,"idisctourmode7"
"9","PNR-Transit","idisc",0,"idisctourmode7"
"1","KNR-Transit","idisc",0,"idisctourmode8"
"2","KNR-Transit","idisc",560,"idisctourmode8"
"3","KNR-Transit","idisc",318,"idisctourmode8"
"4","KNR-Transit","idisc",209,"idisctourmode8"
"5","KNR-Transit","idisc",0,"idisctourmode8"
"6","KNR-Transit","idisc",59,"idisctourmode8"
"7","KNR-Transit","idisc",0,"idisctourmode8"
"8","KNR-Transit","idisc",2785,"idisctourmode8"
"9","KNR-Transit","idisc",0,"idisctourmode8"
"1","School Bus","idisc",0,"idisctourmode9"
"2","School Bus","idisc",0,"idisctourmode9"
"3","School Bus","idisc",0,"idisctourmode9"
"4","School Bus","idisc",0,"idisctourmode9"
"5","School Bus","idisc",0,"idisctourmode9"
"6","School Bus","idisc",0,"idisctourmode9"
"7","School Bus","idisc",0,"idisctourmode9"
"8","School Bus","idisc",0,"idisctourmode9"
"9","School Bus","idisc",0,"idisctourmode9"
"1","Total","idisc",762883,"idiscTotal"
"2","Total","idisc",379968,"idiscTotal"
"3","Total","idisc",257112,"idiscTotal"
"4","Total","idisc",844845,"idiscTotal"
"5","Total","idisc",143432,"idiscTotal"
"6","Total","idisc",98640,"idiscTotal"
"7","Total","idisc",4798,"idiscTotal"
"8","Total","idisc",2785,"idiscTotal"
"9","Total","idisc",0,"idiscTotal"
"1","Auto SOV","jmain",0,"jmaintourmode1"
"2","Auto SOV","jmain",0,"jmaintourmode1"
"3","Auto SOV","jmain",0,"jmaintourmode1"
"4","Auto SOV","jmain",0,"jmaintourmode1"
"5","Auto SOV","jmain",0,"jmaintourmode1"
"6","Auto SOV","jmain",0,"jmaintourmode1"
"7","Auto SOV","jmain",0,"jmaintourmode1"
"8","Auto SOV","jmain",0,"jmaintourmode1"
"9","Auto SOV","jmain",0,"jmaintourmode1"
"1","Auto 2 Person","jmain",0,"jmaintourmode2"
"2","Auto 2 Person","jmain",369840,"jmaintourmode2"
"3","Auto 2 Person","jmain",0,"jmaintourmode2"
"4","Auto 2 Person","jmain",30055,"jmaintourmode2"
"5","Auto 2 Person","jmain",0,"jmaintourmode2"
"6","Auto 2 Person","jmain",0,"jmaintourmode2"
"7","Auto 2 Person","jmain",0,"jmaintourmode2"
"8","Auto 2 Person","jmain",0,"jmaintourmode2"
"9","Auto 2 Person","jmain",0,"jmaintourmode2"
"1","Auto 3+ Person","jmain",0,"jmaintourmode3"
"2","Auto 3+ Person","jmain",28722,"jmaintourmode3"
"3","Auto 3+ Person","jmain",177143,"jmaintourmode3"
"4","Auto 3+ Person","jmain",22375,"jmaintourmode3"
"5","Auto 3+ Person","jmain",0,"jmaintourmode3"
"6","Auto 3+ Person","jmain",0,"jmaintourmode3"
"7","Auto 3+ Person","jmain",0,"jmaintourmode3"
"8","Auto 3+ Person","jmain",0,"jmaintourmode3"
"9","Auto 3+ Person","jmain",0,"jmaintourmode3"
"1","Walk","jmain",0,"jmaintourmode4"
"2","Walk","jmain",0,"jmaintourmode4"
"3","Walk","jmain",0,"jmaintourmode4"
"4","Walk","jmain",0,"jmaintourmode4"
"5","Walk","jmain",0,"jmaintourmode4"
"6","Walk","jmain",0,"jmaintourmode4"
"7","Walk","jmain",0,"jmaintourmode4"
"8","Walk","jmain",0,"jmaintourmode4"
"9","Walk","jmain",0,"jmaintourmode4"
"1","Bike/Moped","jmain",0,"jmaintourmode5"
"2","Bike/Moped","jmain",0,"jmaintourmode5"
"3","Bike/Moped","jmain",0,"jmaintourmode5"
"4","Bike/Moped","jmain",0,"jmaintourmode5"
"5","Bike/Moped","jmain",0,"jmaintourmode5"
"6","Bike/Moped","jmain",0,"jmaintourmode5"
"7","Bike/Moped","jmain",0,"jmaintourmode5"
"8","Bike/Moped","jmain",0,"jmaintourmode5"
"9","Bike/Moped","jmain",0,"jmaintourmode5"
"1","Walk-Transit","jmain",0,"jmaintourmode6"
"2","Walk-Transit","jmain",0,"jmaintourmode6"
"3","Walk-Transit","jmain",0,"jmaintourmode6"
"4","Walk-Transit","jmain",0,"jmaintourmode6"
"5","Walk-Transit","jmain",0,"jmaintourmode6"
"6","Walk-Transit","jmain",0,"jmaintourmode6"
"7","Walk-Transit","jmain",0,"jmaintourmode6"
"8","Walk-Transit","jmain",0,"jmaintourmode6"
"9","Walk-Transit","jmain",0,"jmaintourmode6"
"1","PNR-Transit","jmain",0,"jmaintourmode7"
"2","PNR-Transit","jmain",0,"jmaintourmode7"
"3","PNR-Transit","jmain",0,"jmaintourmode7"
"4","PNR-Transit","jmain",0,"jmaintourmode7"
"5","PNR-Transit","jmain",0,"jmaintourmode7"
"6","PNR-Transit","jmain",0,"jmaintourmode7"
"7","PNR-Transit","jmain",0,"jmaintourmode7"
"8","PNR-Transit","jmain",0,"jmaintourmode7"
"9","PNR-Transit","jmain",0,"jmaintourmode7"
"1","KNR-Transit","jmain",0,"jmaintourmode8"
"2","KNR-Transit","jmain",0,"jmaintourmode8"
"3","KNR-Transit","jmain",0,"jmaintourmode8"
"4","KNR-Transit","jmain",0,"jmaintourmode8"
"5","KNR-Transit","jmain",0,"jmaintourmode8"
"6","KNR-Transit","jmain",0,"jmaintourmode8"
"7","KNR-Transit","jmain",0,"jmaintourmode8"
"8","KNR-Transit","jmain",0,"jmaintourmode8"
"9","KNR-Transit","jmain",0,"jmaintourmode8"
"1","School Bus","jmain",0,"jmaintourmode9"
"2","School Bus","jmain",0,"jmaintourmode9"
"3","School Bus","jmain",0,"jmaintourmode9"
"4","School Bus","jmain",0,"jmaintourmode9"
"5","School Bus","jmain",0,"jmaintourmode9"
"6","School Bus","jmain",0,"jmaintourmode9"
"7","School Bus","jmain",0,"jmaintourmode9"
"8","School Bus","jmain",0,"jmaintourmode9"
"9","School Bus","jmain",0,"jmaintourmode9"
"1","Total","jmain",0,"jmainTotal"
"2","Total","jmain",398562,"jmainTotal"
"3","Total","jmain",177143,"jmainTotal"
"4","Total","jmain",52430,"jmainTotal"
"5","Total","jmain",0,"jmainTotal"
"6","Total","jmain",0,"jmainTotal"
"7","Total","jmain",0,"jmainTotal"
"8","Total","jmain",0,"jmainTotal"
"9","Total","jmain",0,"jmainTotal"
"1","Auto SOV","jdisc",0,"jdisctourmode1"
"2","Auto SOV","jdisc",0,"jdisctourmode1"
"3","Auto SOV","jdisc",0,"jdisctourmode1"
"4","Auto SOV","jdisc",0,"jdisctourmode1"
"5","Auto SOV","jdisc",0,"jdisctourmode1"
"6","Auto SOV","jdisc",0,"jdisctourmode1"
"7","Auto SOV","jdisc",0,"jdisctourmode1"
"8","Auto SOV","jdisc",0,"jdisctourmode1"
"9","Auto SOV","jdisc",0,"jdisctourmode1"
"1","Auto 2 Person","jdisc",0,"jdisctourmode2"
"2","Auto 2 Person","jdisc",254040,"jdisctourmode2"
"3","Auto 2 Person","jdisc",0,"jdisctourmode2"
"4","Auto 2 Person","jdisc",26325,"jdisctourmode2"
"5","Auto 2 Person","jdisc",0,"jdisctourmode2"
"6","Auto 2 Person","jdisc",0,"jdisctourmode2"
"7","Auto 2 Person","jdisc",0,"jdisctourmode2"
"8","Auto 2 Person","jdisc",0,"jdisctourmode2"
"9","Auto 2 Person","jdisc",0,"jdisctourmode2"
"1","Auto 3+ Person","jdisc",0,"jdisctourmode3"
"2","Auto 3+ Person","jdisc",10872,"jdisctourmode3"
"3","Auto 3+ Person","jdisc",160261,"jdisctourmode3"
"4","Auto 3+ Person","jdisc",11081,"jdisctourmode3"
"5","Auto 3+ Person","jdisc",0,"jdisctourmode3"
"6","Auto 3+ Person","jdisc",0,"jdisctourmode3"
"7","Auto 3+ Person","jdisc",0,"jdisctourmode3"
"8","Auto 3+ Person","jdisc",0,"jdisctourmode3"
"9","Auto 3+ Person","jdisc",0,"jdisctourmode3"
"1","Walk","jdisc",0,"jdisctourmode4"
"2","Walk","jdisc",0,"jdisctourmode4"
"3","Walk","jdisc",0,"jdisctourmode4"
"4","Walk","jdisc",0,"jdisctourmode4"
"5","Walk","jdisc",0,"jdisctourmode4"
"6","Walk","jdisc",0,"jdisctourmode4"
"7","Walk","jdisc",0,"jdisctourmode4"
"8","Walk","jdisc",0,"jdisctourmode4"
"9","Walk","jdisc",0,"jdisctourmode4"
"1","Bike/Moped","jdisc",0,"jdisctourmode5"
"2","Bike/Moped","jdisc",0,"jdisctourmode5"
"3","Bike/Moped","jdisc",0,"jdisctourmode5"
"4","Bike/Moped","jdisc",0,"jdisctourmode5"
"5","Bike/Moped","jdisc",0,"jdisctourmode5"
"6","Bike/Moped","jdisc",0,"jdisctourmode5"
"7","Bike/Moped","jdisc",0,"jdisctourmode5"
"8","Bike/Moped","jdisc",0,"jdisctourmode5"
"9","Bike/Moped","jdisc",0,"jdisctourmode5"
"1","Walk-Transit","jdisc",0,"jdisctourmode6"
"2","Walk-Transit","jdisc",0,"jdisctourmode6"
"3","Walk-Transit","jdisc",0,"jdisctourmode6"
"4","Walk-Transit","jdisc",0,"jdisctourmode6"
"5","Walk-Transit","jdisc",0,"jdisctourmode6"
"6","Walk-Transit","jdisc",0,"jdisctourmode6"
"7","Walk-Transit","jdisc",0,"jdisctourmode6"
"8","Walk-Transit","jdisc",0,"jdisctourmode6"
"9","Walk-Transit","jdisc",0,"jdisctourmode6"
"1","PNR-Transit","jdisc",0,"jdisctourmode7"
"2","PNR-Transit","jdisc",0,"jdisctourmode7"
"3","PNR-Transit","jdisc",0,"jdisctourmode7"
"4","PNR-Transit","jdisc",0,"jdisctourmode7"
"5","PNR-Transit","jdisc",0,"jdisctourmode7"
"6","PNR-Transit","jdisc",0,"jdisctourmode7"
"7","PNR-Transit","jdisc",0,"jdisctourmode7"
"8","PNR-Transit","jdisc",0,"jdisctourmode7"
"9","PNR-Transit","jdisc",0,"jdisctourmode7"
"1","KNR-Transit","jdisc",0,"jdisctourmode8"
"2","KNR-Transit","jdisc",0,"jdisctourmode8"
"3","KNR-Transit","jdisc",0,"jdisctourmode8"
"4","KNR-Transit","jdisc",0,"jdisctourmode8"
"5","KNR-Transit","jdisc",0,"jdisctourmode8"
"6","KNR-Transit","jdisc",0,"jdisctourmode8"
"7","KNR-Transit","jdisc",0,"jdisctourmode8"
"8","KNR-Transit","jdisc",0,"jdisctourmode8"
"9","KNR-Transit","jdisc",0,"jdisctourmode8"
"1","School Bus","jdisc",0,"jdisctourmode9"
"2","School Bus","jdisc",0,"jdisctourmode9"
"3","School Bus","jdisc",0,"jdisctourmode9"
"4","School Bus","jdisc",0,"jdisctourmode9"
"5","School Bus","jdisc",0,"jdisctourmode9"
"6","School Bus","jdisc",0,"jdisctourmode9"
"7","School Bus","jdisc",0,"jdisctourmode9"
"8","School Bus","jdisc",0,"jdisctourmode9"
"9","School Bus","jdisc",0,"jdisctourmode9"
"1","Total","jdisc",0,"jdiscTotal"
"2","Total","jdisc",264912,"jdiscTotal"
"3","Total","jdisc",160261,"jdiscTotal"
"4","Total","jdisc",37406,"jdiscTotal"
"5","Total","jdisc",0,"jdiscTotal"
"6","Total","jdisc",0,"jdiscTotal"
"7","Total","jdisc",0,"jdiscTotal"
"8","Total","jdisc",0,"jdiscTotal"
"9","Total","jdisc",0,"jdiscTotal"
"1","Auto SOV","atwork",278342,"atworktourmode1"
"2","Auto SOV","atwork",0,"atworktourmode1"
"3","Auto SOV","atwork",0,"atworktourmode1"
"4","Auto SOV","atwork",0,"atworktourmode1"
"5","Auto SOV","atwork",0,"atworktourmode1"
"6","Auto SOV","atwork",0,"atworktourmode1"
"7","Auto SOV","atwork",0,"atworktourmode1"
"8","Auto SOV","atwork",0,"atworktourmode1"
"9","Auto SOV","atwork",0,"atworktourmode1"
"1","Auto 2 Person","atwork",2195,"atworktourmode2"
"2","Auto 2 Person","atwork",81754,"atworktourmode2"
"3","Auto 2 Person","atwork",0,"atworktourmode2"
"4","Auto 2 Person","atwork",2365,"atworktourmode2"
"5","Auto 2 Person","atwork",0,"atworktourmode2"
"6","Auto 2 Person","atwork",0,"atworktourmode2"
"7","Auto 2 Person","atwork",0,"atworktourmode2"
"8","Auto 2 Person","atwork",0,"atworktourmode2"
"9","Auto 2 Person","atwork",0,"atworktourmode2"
"1","Auto 3+ Person","atwork",708,"atworktourmode3"
"2","Auto 3+ Person","atwork",52,"atworktourmode3"
"3","Auto 3+ Person","atwork",34205,"atworktourmode3"
"4","Auto 3+ Person","atwork",806,"atworktourmode3"
"5","Auto 3+ Person","atwork",0,"atworktourmode3"
"6","Auto 3+ Person","atwork",0,"atworktourmode3"
"7","Auto 3+ Person","atwork",0,"atworktourmode3"
"8","Auto 3+ Person","atwork",0,"atworktourmode3"
"9","Auto 3+ Person","atwork",0,"atworktourmode3"
"1","Walk","atwork",0,"atworktourmode4"
"2","Walk","atwork",0,"atworktourmode4"
"3","Walk","atwork",0,"atworktourmode4"
"4","Walk","atwork",450147,"atworktourmode4"
"5","Walk","atwork",0,"atworktourmode4"
"6","Walk","atwork",0,"atworktourmode4"
"7","Walk","atwork",0,"atworktourmode4"
"8","Walk","atwork",0,"atworktourmode4"
"9","Walk","atwork",0,"atworktourmode4"
"1","Bike/Moped","atwork",0,"atworktourmode5"
"2","Bike/Moped","atwork",0,"atworktourmode5"
"3","Bike/Moped","atwork",0,"atworktourmode5"
"4","Bike/Moped","atwork",0,"atworktourmode5"
"5","Bike/Moped","atwork",19802,"atworktourmode5"
"6","Bike/Moped","atwork",0,"atworktourmode5"
"7","Bike/Moped","atwork",0,"atworktourmode5"
"8","Bike/Moped","atwork",0,"atworktourmode5"
"9","Bike/Moped","atwork",0,"atworktourmode5"
"1","Walk-Transit","atwork",0,"atworktourmode6"
"2","Walk-Transit","atwork",0,"atworktourmode6"
"3","Walk-Transit","atwork",0,"atworktourmode6"
"4","Walk-Transit","atwork",7,"atworktourmode6"
"5","Walk-Transit","atwork",0,"atworktourmode6"
"6","Walk-Transit","atwork",21236,"atworktourmode6"
"7","Walk-Transit","atwork",0,"atworktourmode6"
"8","Walk-Transit","atwork",0,"atworktourmode6"
"9","Walk-Transit","atwork",0,"atworktourmode6"
"1","PNR-Transit","atwork",0,"atworktourmode7"
"2","PNR-Transit","atwork",0,"atworktourmode7"
"3","PNR-Transit","atwork",0,"atworktourmode7"
"4","PNR-Transit","atwork",0,"atworktourmode7"
"5","PNR-Transit","atwork",0,"atworktourmode7"
"6","PNR-Transit","atwork",0,"atworktourmode7"
"7","PNR-Transit","atwork",0,"atworktourmode7"
"8","PNR-Transit","atwork",0,"atworktourmode7"
"9","PNR-Transit","atwork",0,"atworktourmode7"
"1","KNR-Transit","atwork",0,"atworktourmode8"
"2","KNR-Transit","atwork",0,"atworktourmode8"
"3","KNR-Transit","atwork",0,"atworktourmode8"
"4","KNR-Transit","atwork",0,"atworktourmode8"
"5","KNR-Transit","atwork",0,"atworktourmode8"
"6","KNR-Transit","atwork",0,"atworktourmode8"
"7","KNR-Transit","atwork",0,"atworktourmode8"
"8","KNR-Transit","atwork",0,"atworktourmode8"
"9","KNR-Transit","atwork",0,"atworktourmode8"
"1","School Bus","atwork",0,"atworktourmode9"
"2","School Bus","atwork",0,"atworktourmode9"
"3","School Bus","atwork",0,"atworktourmode9"
"4","School Bus","atwork",0,"atworktourmode9"
"5","School Bus","atwork",0,"atworktourmode9"
"6","School Bus","atwork",0,"atworktourmode9"
"7","School Bus","atwork",0,"atworktourmode9"
"8","School Bus","atwork",0,"atworktourmode9"
"9","School Bus","atwork",0,"atworktourmode9"
"1","Total","atwork",281245,"atworkTotal"
"2","Total","atwork",81806,"atworkTotal"
"3","Total","atwork",34205,"atworkTotal"
"4","Total","atwork",453325,"atworkTotal"
"5","Total","atwork",19802,"atworkTotal"
"6","Total","atwork",21236,"atworkTotal"
"7","Total","atwork",0,"atworkTotal"
"8","Total","atwork",0,"atworkTotal"
"9","Total","atwork",0,"atworkTotal"
"1","Auto SOV","total",5752781,"totaltourmode1"
"2","Auto SOV","total",0,"totaltourmode1"
"3","Auto SOV","total",0,"totaltourmode1"
"4","Auto SOV","total",0,"totaltourmode1"
"5","Auto SOV","total",0,"totaltourmode1"
"6","Auto SOV","total",0,"totaltourmode1"
"7","Auto SOV","total",0,"totaltourmode1"
"8","Auto SOV","total",0,"totaltourmode1"
"9","Auto SOV","total",0,"totaltourmode1"
"1","Auto 2 Person","total",653425,"totaltourmode2"
"2","Auto 2 Person","total",3181998,"totaltourmode2"
"3","Auto 2 Person","total",0,"totaltourmode2"
"4","Auto 2 Person","total",141027,"totaltourmode2"
"5","Auto 2 Person","total",0,"totaltourmode2"
"6","Auto 2 Person","total",0,"totaltourmode2"
"7","Auto 2 Person","total",0,"totaltourmode2"
"8","Auto 2 Person","total",0,"totaltourmode2"
"9","Auto 2 Person","total",0,"totaltourmode2"
"1","Auto 3+ Person","total",209213,"totaltourmode3"
"2","Auto 3+ Person","total",552456,"totaltourmode3"
"3","Auto 3+ Person","total",2925308,"totaltourmode3"
"4","Auto 3+ Person","total",141092,"totaltourmode3"
"5","Auto 3+ Person","total",0,"totaltourmode3"
"6","Auto 3+ Person","total",0,"totaltourmode3"
"7","Auto 3+ Person","total",0,"totaltourmode3"
"8","Auto 3+ Person","total",0,"totaltourmode3"
"9","Auto 3+ Person","total",0,"totaltourmode3"
"1","Walk","total",0,"totaltourmode4"
"2","Walk","total",0,"totaltourmode4"
"3","Walk","total",0,"totaltourmode4"
"4","Walk","total",3426105,"totaltourmode4"
"5","Walk","total",0,"totaltourmode4"
"6","Walk","total",0,"totaltourmode4"
"7","Walk","total",0,"totaltourmode4"
"8","Walk","total",0,"totaltourmode4"
"9","Walk","total",0,"totaltourmode4"
"1","Bike/Moped","total",0,"totaltourmode5"
"2","Bike/Moped","total",0,"totaltourmode5"
"3","Bike/Moped","total",0,"totaltourmode5"
"4","Bike/Moped","total",0,"totaltourmode5"
"5","Bike/Moped","total",1359606,"totaltourmode5"
"6","Bike/Moped","total",0,"totaltourmode5"
"7","Bike/Moped","total",0,"totaltourmode5"
"8","Bike/Moped","total",0,"totaltourmode5"
"9","Bike/Moped","total",0,"totaltourmode5"
"1","Walk-Transit","total",0,"totaltourmode6"
"2","Walk-Transit","total",37517,"totaltourmode6"
"3","Walk-Transit","total",3084,"totaltourmode6"
"4","Walk-Transit","total",154467,"totaltourmode6"
"5","Walk-Transit","total",0,"totaltourmode6"
"6","Walk-Transit","total",925848,"totaltourmode6"
"7","Walk-Transit","total",0,"totaltourmode6"
"8","Walk-Transit","total",0,"totaltourmode6"
"9","Walk-Transit","total",0,"totaltourmode6"
"1","PNR-Transit","total",8785,"totaltourmode7"
"2","PNR-Transit","total",5200,"totaltourmode7"
"3","PNR-Transit","total",12301,"totaltourmode7"
"4","PNR-Transit","total",13805,"totaltourmode7"
"5","PNR-Transit","total",0,"totaltourmode7"
"6","PNR-Transit","total",2488,"totaltourmode7"
"7","PNR-Transit","total",86788,"totaltourmode7"
"8","PNR-Transit","total",0,"totaltourmode7"
"9","PNR-Transit","total",0,"totaltourmode7"
"1","KNR-Transit","total",0,"totaltourmode8"
"2","KNR-Transit","total",8141,"totaltourmode8"
"3","KNR-Transit","total",6843,"totaltourmode8"
"4","KNR-Transit","total",8524,"totaltourmode8"
"5","KNR-Transit","total",0,"totaltourmode8"
"6","KNR-Transit","total",1934,"totaltourmode8"
"7","KNR-Transit","total",0,"totaltourmode8"
"8","KNR-Transit","total",35432,"totaltourmode8"
"9","KNR-Transit","total",0,"totaltourmode8"
"1","School Bus","total",0,"totaltourmode9"
"2","School Bus","total",0,"totaltourmode9"
"3","School Bus","total",0,"totaltourmode9"
"4","School Bus","total",0,"totaltourmode9"
"5","School Bus","total",0,"totaltourmode9"
"6","School Bus","total",0,"totaltourmode9"
"7","School Bus","total",0,"totaltourmode9"
"8","School Bus","total",0,"totaltourmode9"
"9","School Bus","total",164088,"totaltourmode9"
"1","Total","total",6624204,"totalTotal"
"2","Total","total",3785312,"totalTotal"
"3","Total","total",2947536,"totalTotal"
"4","Total","total",3885020,"totalTotal"
"5","Total","total",1359606,"totalTotal"
"6","Total","total",930270,"totalTotal"
"7","Total","total",86788,"totalTotal"
"8","Total","total",35432,"totalTotal"
"9","Total","total",164088,"totalTotal"
